70,類義語 「しる」「わかる」의 意味에 관한 考察 = A Study on the Meaning of the Synonyms ‘siru’ ＆ ‘wakaru’,편귀진,학위논문(석사)-- 인천대학교 교육대학원 : 일어일문학과 2005. 2,2005,"유의어 , 의미 , 일본어 , 석사 , 교육대학원 , 인천대학교 , synonym , meaning , siru , wakaru , japanese , education , major , graduate , school , of , education , University , Of , Incheon"
71,영재교육 연수를 통한 영재와 영재교육에 대한 교사들의 인식 변화 = The Changes in Teachers' Perception toward Gifted Children and Gifted Education by Study and Training,이미선,학위논문(석사)-- 인천대학교 교육대학원 : 영재교육전공 2008. 2,2008,"영재 , 영재교육 , 영재교사 , 연수 , 인식 , 변화"
72,부천지역 고등학교 상담실태 분석 및 상담활동 활성화 방안 연구 = A Study on the Current Practices and of High School Counseling in Bucheon,김경자(金京子),학위논문(석사)-- 인천대학교 교육대학원 : 0MAI 2006. 2,2006,"고등학교 , 상담실태 , 상담활동 , 활성화 , Current , Practices , Future , Direction , High , School , Counseling"
73,영재의 지능과 창의성 수준에 따른 학습전략의 차이 = Difference in Learning Strategies According to the Gifted Students' Intelligence and Creativity Level,이미숙,학위논문(석사)-- 인천대학교 교육대학원 : 영재교육전공 2009. 2,2009,"intelligence , creativity , learning , strategies"
74,성과상여금에 대한 공정성 인식이 조직유효성에 미치는 영향 : 교육행정직공무원들의 직무만족과 조직몰입을 중심으로,김혜숙,학위논문(석사)-- 인천대학교 행정대학원 : 일반행정학과 2013. 2,2013,
75,2018학년도 대학수학능력 영어영역 절대평가 시행에 대한 학생 인식 조사 : 1회 실시 수험자인 고등학교 1학년을 대상으로 = A Study of Students' Perceptions on Criterion-Referenced Evaluation of CSAT (College Scholastic Ability Test) in 2018,이지현,학위논문(석사)-- 인천대학교 교육대학원 : 영어교육전공 2016. 8,2016,"수능 영어영역 절대평가 , 영어사교육 , 대학별 고사 , 말하기 평가"
76,"학교 밖 청소년의 적응유연성에 관한 연구 : 자아존중감, 가족응집력, 사회적지지를 중심으로 = A Study on Adaptation Flexibility of Adolescents Out of School:Self-esteem, family cohesion and social support",전주희,학위논문(석사)-- 인천대학교 정책대학원 : 사회복지학과 2018.2,2018,"""학교밖청소년"" , ""적응유연성"" , ""자아존중감"" , ""가족응집력"" , ""사회적지지"""
77,대학 교육원가와 활용방안에 관한 연구,김종은,학위논문(석사)-- 인천대학교 : 무역학과 2014. 2,2014,
78,표준보육과정을 통한 생태유아교육프로그램 적용사례 = Application case of ecological early childhood education program according to standard child card curriculum,이미애(李美愛),학위논문(석사)-- 인천대학교 교육대학원 : 유아교육전공(교육) 2008. 2,2008,"표준보육과정 , standard , child , card , curriculum"
79,항공영어 및 항공정비 영어의 사용실태 분석과 개선방안 연구 = Analysis of the use of Aviation and Aircraft maintenance English,조태권,학위논문(석사)-- 인천대학교 교육대학원 : 영어교육전공 2006. 2,2006,"인천대학교 , 학산도서관"
80,정신지체인 자조집단 활용의 효과성 연구 = A Study on Effectiveness of Application with Self-help Group for Mental Retardation,이경준(李卿俊),학위논문(석사)-- 인천대학교 행정대학원 : 사회복지학과(행정) 2006. 8,2006,"정신지체인 , Mental , Retardation"
